"","meanlog","sdlog","meanlog","sdlog","meanlog","sdlog","meanlog","sdlog","meanlog","sdlog"
"E72870000",-4.32758244557669,1.09885633917398,-4.57610128478326,1.01438110829656,-4.60798385057392,1.15097988270959,-4.1031604316367,1.01195340330436,-4.01703317197502,1.07876381851955
"E72849000",-4.21843715312878,1.03530578507424,-4.27158933984124,0.952456801943256,-4.44351703594299,1.02594193859952,-4.17044963043265,1.02076659797609,-3.97932757921121,1.0839147734286
"E72810000",-4.18825527885321,0.983869859757814,-4.21287867471078,0.902156010152367,-4.40911187697917,0.976858882236803,-4.16980990799373,0.981274991497682,-3.95159472767084,1.01783698118037
"E72715000",-4.23105280163743,1.10114582556572,-4.31304606275083,1.04191055703566,-4.43680693739426,1.06926332238723,-4.1737423781488,1.11658947455638,-3.99265999655984,1.12536119203074
"E72680000",-4.01293064282629,0.962390807376162,-4.31725262611831,0.847810163830414,-4.34049706235014,1.02605178448691,-3.71455436063163,0.855908771052293,-3.6738133990529,0.890157700402249
"E72630000",-4.07109673270325,0.918429674666722,-4.35370310017878,0.797209980601032,-4.44738276115073,0.98773135917104,-3.75702528918591,0.79946728349772,-3.71946092604478,0.821033402751556
"E72430000",-4.10436696034389,0.98346273594768,-4.437235244849,0.824286198851717,-4.53425102100184,1.06948241515293,-3.72455015764341,0.842210482529771,-3.71446883177309,0.857597970568831
"E70500000",-4.01171111994073,1.09611932332955,-4.26226838813577,1.03337932724327,-4.35379832341986,1.12794835903807,-3.72011473267329,1.04264966947586,-3.70373696526055,1.00661937737459
"E70300000",-4.20452187878321,1.10367215057997,-4.26257550007582,1.02797327487078,-4.54790012407466,1.16018291114343,-4.02764850676666,1.09097171447139,-3.97142110163624,1.03171390575072
"E70200000",-4.03875026857535,0.950065558124931,-4.02539979763636,0.888841884508337,-4.27839418609557,0.931930162994908,-3.94787486155088,0.992567012001711,-3.89691868257589,0.937172382314807
"E70100000",-3.99266328193342,0.964942765832865,-3.82635158666427,0.876439868949021,-4.21827988419735,0.95093836396086,-4.04352704427621,1.00503800431997,-3.87390134623162,0.971916365993418
"E86100000",-4.08996848600969,0.979543605092835,-4.11672232376255,0.917771143895019,-4.38392852226162,0.974516111717635,-3.98060176787884,1.00421550208138,-3.87029573605498,0.941598854528682
"E86160000",-4.365871457129,1.16427281248623,-4.67355466914066,1.16823358264944,-4.73323076367414,1.19354459734248,-3.98160910414734,1.06034917852363,-4.06936814943193,1.01829871357111
"E71550000",-3.99023034516216,0.87103386194283,-4.02676558950192,0.740590763790859,-4.25499271970453,0.860158382207355,-3.96636889536949,0.890361718724334,-3.70123645878005,0.892848769300587
"E71498000",-3.95009603620855,0.751660423899779,-4.00633295569174,0.666173626477059,-4.16662733021979,0.725525072717784,-3.90202247931405,0.755266506033643,-3.71688900665979,0.783292710222583
"E71383000",-4.02633296349467,0.87947798436468,-4.02853402180144,0.756003035210976,-4.28327621476334,0.873481714306456,-4.03319674521661,0.900424881621421,-3.74819827494485,0.896545614508712
"E71350001",-3.83200630779277,0.826785452064076,-3.81430710915348,0.727142615047749,-4.02821270219044,0.810437711685333,-3.87081832405414,0.872231443065334,-3.60415948783815,0.832917668130246
"E71300000",-3.78597285619963,0.769617364739858,-3.70844375507067,0.682235834772818,-3.98128361745899,0.751459346316424,-3.85570935877798,0.795323002397802,-3.58738908447891,0.785656778549881
"E71250000",-4.06114358622719,0.928310080842189,-3.97580506581557,0.943613183256626,-4.24086237829008,0.871269327877297,-4.13243510217854,0.937359472064871,-3.88515928554594,0.919216972357842
"E71200000",-3.65237438391455,0.746606763968387,-3.53429616704423,0.649961424143186,-3.8096076669304,0.734524764197833,-3.75621850792612,0.783529077388995,-3.49906012281159,0.761010995609192
"E83675000",-3.6289445759981,0.630913203198132,-3.46220042298525,0.618049752513954,-3.60399016790962,0.532609351255696,-3.84507847396606,0.651898687931835,-3.60103410061895,0.652835514018771
"E83345000",-4.49987849735315,1.02450452586515,-4.40381251484755,1.00355730624589,-4.73034932278863,0.956667041659086,-4.56747810896574,1.02727355109639,-4.29380679089938,1.05448271609201
"E83029900",-4.08981884983051,0.952044423624648,-3.91596656789132,0.945813899026135,-4.20858709831947,0.872055677390415,-4.28561513551429,0.913164663358446,-3.94421699599667,1.01722595954045
"E83660000",-4.16662329095323,0.944814520297256,-3.99597581978982,0.945249481297346,-4.27854965767899,0.887346915058901,-4.41540609056028,0.97390218925316,-3.97119132358925,0.894186445469366
"E83800002",-3.92835357747186,0.759680474067009,-3.81020947107186,0.762809147471806,-4.06407176904078,0.692381403795147,-4.05217898848612,0.777450753530402,-3.78312823862515,0.757967494956542
"E83892998",-4.19770077079871,0.667518237207337,-4.04801548071378,0.647371451651977,-4.31926487177827,0.602782741550405,-4.32019416144276,0.674544465575011,-4.09941294882939,0.695317030889515
"E83900000",-4.01686103883921,0.591772454046836,-3.90705595602185,0.588494460733412,-4.12037020991306,0.487808085162934,-4.0912658327444,0.616447768643214,-3.94589207121498,0.635561912720158
"E83440000",-4.36353374459098,0.910256277646405,-4.30003058173784,0.888907067954335,-4.61056483427054,0.865730132726622,-4.39422956513916,0.902040567144817,-4.14573467543215,0.920639441237698
"E83690000",-3.99148256347007,0.789047012432601,-3.88115953998765,0.790003508604867,-4.15138142240908,0.713378369834814,-4.09800737989405,0.789953245434954,-3.83154492320515,0.812166642522613
"E83250000",-4.19452942423917,0.873791892079607,-4.10491765828001,0.854815089765965,-4.47409715534595,0.816669011653719,-4.23159908761717,0.886682289035008,-3.96328570539537,0.853746975243978
"E83880000",-3.20527998370458,0.794556127158892,-2.98670364167844,0.736228905211656,-3.35217444346239,0.928605034869329,-3.37638992739658,0.772779213822179,-3.10055591502849,0.641160002401556
"E83300200",-4.02845090830345,0.817264308249249,-3.9387245526012,0.84639163450141,-4.21302777782622,0.750271216672023,-4.10880558266716,0.802280565743686,-3.84959488154052,0.818302674832245
"E83892990",-4.30708176237174,1.01180056241072,-4.19843211197675,0.946448214141344,-4.56610409917131,1.00883020744085,-4.37617679278504,1.02664240624046,-4.08311289604827,0.995799713725679
"E83105000",-4.3513888808317,0.877641493753677,-4.2274802297082,0.865603615514373,-4.57257884813011,0.789992419317144,-4.45744370084416,0.858368484396452,-4.14343542293385,0.923774807121366
"E83050000",-4.09371072572411,1.18477935730586,-4.00048972459458,1.30082467913185,-4.2408543876825,1.15764242639196,-4.25997437747961,1.07951902297328,-3.86931207177094,1.14632082420194
"E83677000",-3.95080253158709,0.709283127442803,-3.77132022030378,0.710406924332607,-3.98317252646136,0.617109725947656,-4.1710028965142,0.714361702242053,-3.87345973479141,0.72786103169301
"E83069900",-4.27713534795537,0.94829762431011,-4.2113978212795,0.958422561400506,-4.41496309163879,0.864807118124555,-4.4066212383645,0.886741796671174,-4.07207993527385,1.03192617828351
"E83520000",-4.26835114436339,0.846002644049448,-4.17675112569808,0.856243616709256,-4.46609660921428,0.777045078703428,-4.34418680414894,0.835976557032805,-4.08260870719848,0.860501550223297
"E74320000",-4.25750412155598,1.22808367750321,-4.52340589673435,1.1536619404191,-4.5024388842868,1.33604338111349,-4.08136661622301,1.08276746164343,-3.9242218425559,1.21260213049138
"E74295000",-4.23706810995678,1.2696554249125,-4.56704104622479,1.20013392284817,-4.51656128147562,1.35895493844113,-4.03108081666741,1.16009179946958,-3.83547785164439,1.19290002391809
"E74100000",-3.92440058827846,0.821205276484747,-4.12438052385906,0.710927023605909,-4.20484131720618,0.831487518395257,-3.74691703716615,0.822155395068601,-3.62196617654408,0.762043363573768
"E74270000",-3.95010721246189,1.01807463275771,-4.23617912128438,0.844243816999376,-4.36657428936996,1.09183869177729,-3.62618654685267,0.951180227258904,-3.57280948273648,0.91018803898693
"E84820000",-4.07990615021654,1.27249496138009,-3.78873999016232,1.41189680644609,-4.15154195372995,1.14978772848575,-4.25556628797046,1.12994716270647,-4.11865911008796,1.33149464914392
"E84853000",-4.22487254724664,1.46971618443422,-4.17989363692018,1.84566022279257,-3.99047045083215,1.15313224674798,-4.27803166897529,1.07695765232808,-4.45271540799455,1.63165992557412
"E84800000",-3.33647112585703,1.04112073558792,-2.92478732777886,0.947090092965329,-3.42987291122352,1.00199678556952,-3.76153215748761,0.99881490269285,-3.22060171500893,1.03170371381269
"E84949000",-4.66883611526125,1.91702250040226,-4.52244321649006,2.18331831159157,-4.57987032370379,1.7311344393681,-4.86355105021069,1.72106779513952,-4.70711125726165,1.98226012709134
"E65925000",-3.7496045468277,0.861113653144503,-3.92171272815426,0.741990318228618,-3.94040025731296,0.929436574790141,-3.6328590964103,0.793099496608448,-3.50405084033357,0.883583723102461
"E73900000",-4.06239973336531,1.16191887808268,-4.3524731852271,1.12893483741257,-4.22526457632691,1.21890876637861,-3.94324494854319,1.01969733338505,-3.73052660831742,1.16907801551404
"E73770000",-3.80043536513775,0.856410106712374,-3.96001080171693,0.731918649763739,-4.00785107441075,0.921702765172891,-3.70911467181172,0.804875935419605,-3.52480432537521,0.863464057677777
"E73765000",-4.55014011179013,1.41006870230759,-4.87263370303522,1.39171104640029,-4.76736256537363,1.48628516881065,-4.40887475703276,1.2553504211867,-4.15351264253877,1.38011284329466
"E73820000",-4.44900562423384,1.36245600552713,-4.73904404702435,1.31852174433516,-4.67621416121698,1.49156998184274,-4.32669868570476,1.19383662302655,-4.05530326473256,1.31551914759061
"E73780000",-4.55554190931713,1.43500343574081,-4.85101894809551,1.35286126973927,-4.79068107124484,1.54743059763807,-4.44267068169393,1.30142039814718,-4.13888858288017,1.40994650260955
"E73690001",-3.75740807955008,0.777959346593682,-3.83327160238567,0.642072461484399,-3.92785399215231,0.814575911253471,-3.70971051244441,0.761947322077732,-3.55807257711494,0.827921788518834
"E73960000",-3.98184999124669,0.942690593030626,-4.18679472717041,0.826798565178825,-4.19284071016771,1.04562615601968,-3.87763378757709,0.84880193864549,-3.67064649871652,0.9277317743486
"E73600000",-3.6274976561322,0.79672162968927,-3.79070673430078,0.691545269442341,-3.80948238260568,0.844523636045295,-3.52576354063829,0.754005750147503,-3.38450122190323,0.805137586533518
"E73350000",-3.96732845014884,1.04136256322628,-4.14570442116948,0.929340866174566,-4.23142187904217,1.07698322203306,-3.77735407081068,1.01103256453889,-3.71549995601619,1.04309236771953
"E73300000",-4.24864745442057,1.16935741676958,-4.37709102397744,1.09153787588434,-4.46802758226424,1.18750845814819,-4.15361202738925,1.21104118522282,-3.99555920110345,1.12254702484319
"E73330000",-3.94815134716993,0.977018586733598,-4.08976380023481,0.858343003244363,-4.15872351518918,0.997303676445254,-3.83025816989636,0.982198857119801,-3.7140172339627,0.993092875513632
"E82320000",-3.40069266185982,0.773938439921176,-3.20823923034122,0.740618325243426,-3.50810982043432,0.753458339166145,-3.57401186174382,0.802444232916269,-3.30773856533644,0.740146419605345
"E82350000",-3.76663903356136,0.825649985588036,-3.5186972035268,0.809207709432858,-3.79240390214384,0.728824671580819,-4.05780812882735,0.851878077121981,-3.69212063231478,0.814332898962868
"E82370000",-3.51387991225278,0.8940207352701,-3.25818526143255,0.845376139956704,-3.54374902905799,0.838299893799709,-3.77906760196007,0.959662539226681,-3.4691680005756,0.847891197319605
"E82549000",-3.34328017735119,0.741320809333984,-3.14881012125378,0.756750539131236,-3.26495022966289,0.615581885293925,-3.59397281174029,0.742636138727144,-3.36189067610194,0.767825217416228
"E82770000",-3.36086761023349,1.04983760827923,-2.91869295004076,1.00367087789958,-3.31273061227737,0.920948660616023,-3.84772525057704,1.05588664262872,-3.35585622542854,1.00209675988698
"E65094500",-4.02850522202736,0.843373494687112,-3.90248627279041,0.793344963636417,-4.20896274407898,0.731587910016196,-4.14344366137724,0.954200654386715,-3.85482311763017,0.822718183263976
"E65095000",-4.11932735884126,0.759454651586734,-3.95447454250167,0.690857057066792,-4.23746325746161,0.695728292702499,-4.26063215343253,0.823564493061994,-4.02050316755616,0.771727429118763
"E65135000",-4.13008631388823,0.722312308840138,-3.93861657889942,0.664192819919456,-4.2277737952589,0.702636910987875,-4.2740176327153,0.765036503843743,-4.07567310765913,0.704156483539687
"E74370000",-3.74228595156163,0.781264596480853,-3.91464816821162,0.663739532192748,-4.06992233569143,0.803304745121512,-3.51100018473655,0.767096891874339,-3.47395382823714,0.708223987616185
"E74470000",-3.94234036864105,0.8609165993107,-4.13538959284312,0.723027174148754,-4.30395419682941,0.890315928829211,-3.68348091084891,0.846138215372257,-3.64701988437239,0.77916575077539
"E84071000",-3.84830124997137,0.623639805766653,-3.66652571237393,0.604293024233983,-3.901777332687,0.495263702447134,-3.9884556519525,0.698163124049295,-3.83286574379868,0.634316843869426
"E84095000",-4.03860900985541,0.761585798800973,-3.90168453513277,0.615610946330479,-4.05893565042159,0.4876308636611,-4.14340763050106,0.89048080140911,-4.04793891899947,0.938052412578693
"E84095500",-3.84989466495403,0.636719149533209,-3.73602645040125,0.658299396883127,-3.90180748639505,0.581250422461422,-3.92037231049928,0.682041843767512,-3.83911742665312,0.604018287612847
"E84559800",-4.12645152389801,0.862215283398011,-3.86441046667878,0.938100099202845,-4.03429938033631,0.730903417956449,-4.37763451769813,0.748104651953474,-4.22563444818767,0.924565645371687
"E84520000",-3.61688166534049,0.515621569616937,-3.42899053166388,0.563376863895031,-3.57211065750281,0.43199738006548,-3.81728821377928,0.446860446982654,-3.64593577827641,0.532233328859354
"E84249998",-4.09741891639507,0.958577851934233,-3.66830237195621,0.81735548678529,-4.10915160083426,0.856837299052536,-4.61132023210932,1.02884813400628,-3.99171957601597,0.867314288114388
"E84300000",-3.91465838785019,0.864845705012896,-3.49694290990932,0.854919520073795,-3.88622187129413,0.748600857417944,-4.3387137988873,0.71872603579357,-3.92909230872521,0.912423482282029
"E84580000",-3.91516014001699,0.66601489768619,-3.60946994167921,0.707877738169269,-3.8734198076414,0.59441755259891,-4.21066773154503,0.552381158426879,-3.96186831531762,0.657869778492786
"E84551000",-3.58232235502431,0.856865441814331,-3.29974056143834,0.899081002093227,-3.5290837022036,0.762274455980054,-3.86185408158507,0.820232012863112,-3.63388162514867,0.844920860829928
"E84520010",-3.65187924881998,0.611611936670334,-3.40175012147835,0.631461776645569,-3.60807992000296,0.509199356857398,-3.91548209252432,0.55690989573563,-3.67780428622946,0.628752757576804
"E84560000",-3.82678663373481,0.758587733386908,-3.50431640961939,0.890085561889841,-3.73892418504286,0.650810501788615,-4.14167496392876,0.582178127927444,-3.91717689894862,0.730541825352125
"E84598002",-3.76493485746647,0.50922972062696,-3.59507175071503,0.622682295352274,-3.66629012963768,0.441125765225729,-3.93883570913329,0.396070062961228,-3.85736673011318,0.472588053795672
"E65180000",-4.26876143762422,0.98841187794736,-4.26283205639796,0.893374997547858,-4.49739668363778,0.998532871218166,-4.29958312898807,1.01790955190226,-4.0123327518432,0.976999498470868
"E82270050",-3.13868220184792,0.762473680457436,-2.86747914403967,0.74002718616425,-3.13830886720511,0.638421873836922,-3.47471415944837,0.773824061437298,-3.07562934659739,0.762052015425342
"E84100000",-3.68402917409323,0.595249615030422,-3.49401514012664,0.620686535333921,-3.64840538052243,0.517837114849596,-3.89943646379801,0.545642702649556,-3.69073890004375,0.619617463537258
"E84970000",-3.68154573118694,1.19665800808536,-3.4024315039323,1.19219893231186,-3.90475452555715,1.09546059578623,-3.95215325666545,1.159186216128,-3.45908017948615,1.23091848508941
